Samples,Cu,Cd,Zn,Pb
1,0.32,0.012,0.2311,0.24
1,0.284,0.009,0.104,0.23
2,0.01,0.013,0.059,0.42
2,0.008,0.016,0.0588,0.49
3,0.015,0.015,0.0937,0.74
3,0.015,0.018,0.0998,0.73
4,0.013,0.017,0.05,0.7
4,0.005,0.019,0.0455,0.69
5,0.017,0.027,0.0142,0.01
5,0.011,0.025,0.012,0.011
